Obj1,OBj2,GBJ,GIST,HMAX,AlexNet
23,39,0.577777778,0.755555556,0.833333333,0.877777778
23,43,0.8,0.988888889,0.988888889,1
23,44,0.8,0.955555556,1,0.955555556
23,48,0.655555556,0.977777778,0.822222222,0.966666667
23,76,0.744444444,0.888888889,0.944444444,0.922222222
23,83,0.777777778,1,0.988888889,0.988888889
23,100,0.6,0.866666667,0.877777778,0.955555556
23,103,0.477777778,0.833333333,0.777777778,0.911111111
23,106,0.744444444,0.9,0.544444444,0.688888889
23,107,0.622222222,0.688888889,0.588888889,0.777777778
23,108,0.711111111,0.944444444,1,0.977777778
23,116,0.888888889,1,1,0.955555556
31,23,0.733333333,0.977777778,0.922222222,0.944444444
31,32,0.933333333,1,1,1
31,39,0.722222222,1,0.855555556,1
31,43,0.877777778,1,0.933333333,1
31,44,0.755555556,0.955555556,0.911111111,1
31,48,0.766666667,0.844444444,0.766666667,0.877777778
31,56,0.944444444,1,0.966666667,0.977777778
31,76,0.7,0.7,0.877777778,0.977777778
31,83,0.744444444,1,0.977777778,1
31,90,0.922222222,0.988888889,0.966666667,0.977777778
31,100,0.666666667,0.944444444,1,0.822222222
31,103,0.744444444,0.955555556,0.744444444,0.988888889
31,106,0.7,0.988888889,0.844444444,0.755555556
31,107,0.688888889,0.822222222,1,0.966666667
31,108,0.633333333,0.944444444,0.977777778,1
31,116,0.788888889,1,1,0.988888889
31,266,0.877777778,0.977777778,0.977777778,0.944444444
32,23,0.855555556,1,1,1
32,39,0.855555556,1,1,1
32,43,0.966666667,1,0.988888889,1
32,44,0.977777778,1,1,1
32,48,0.822222222,1,0.955555556,0.977777778
32,56,0.944444444,1,1,1
32,76,0.911111111,0.944444444,1,1
32,83,0.955555556,1,1,1
32,100,0.888888889,1,1,0.844444444
32,103,0.955555556,1,1,1
32,106,0.8,1,1,0.944444444
32,107,0.8,1,1,1
32,108,0.811111111,1,1,1
32,116,0.766666667,1,0.888888889,0.922222222
36,23,0.766666667,0.988888889,0.977777778,0.977777778
36,31,0.844444444,1,0.766666667,1
36,32,0.955555556,1,0.988888889,0.988888889
36,39,0.866666667,0.966666667,0.777777778,0.944444444
36,43,0.888888889,1,0.666666667,0.911111111
36,44,0.755555556,0.811111111,0.711111111,0.911111111
36,48,0.8,1,0.744444444,1
36,56,0.911111111,0.966666667,0.833333333,0.955555556
36,61,0.588888889,0.822222222,0.755555556,0.922222222
36,76,0.544444444,0.844444444,0.722222222,0.811111111
36,83,0.888888889,0.922222222,0.666666667,0.933333333
36,85,0.822222222,1,0.855555556,0.944444444
36,90,0.8,0.866666667,0.8,0.988888889
36,100,0.744444444,0.744444444,0.911111111,0.9
36,103,0.777777778,0.988888889,0.655555556,0.911111111
36,106,0.777777778,0.988888889,0.888888889,1
36,107,0.588888889,1,0.888888889,0.988888889
36,108,0.566666667,0.744444444,0.677777778,0.9
36,116,0.933333333,0.922222222,0.955555556,0.922222222
36,117,0.966666667,0.966666667,0.833333333,1
36,266,0.766666667,1,0.855555556,0.9
39,44,0.822222222,1,0.955555556,1
39,100,0.733333333,0.988888889,0.977777778,0.844444444
39,103,0.755555556,0.555555556,0.333333333,0.644444444
39,116,0.733333333,1,1,0.922222222
43,39,0.777777778,0.988888889,0.955555556,1
43,44,0.733333333,0.933333333,0.9,1
43,76,0.844444444,1,0.988888889,0.977777778
43,100,0.822222222,0.844444444,1,0.8
43,103,0.877777778,0.955555556,0.944444444,0.944444444
43,116,0.855555556,1,1,0.977777778
44,103,0.733333333,0.933333333,0.922222222,0.966666667
44,116,0.9,0.888888889,0.955555556,0.844444444
48,39,0.711111111,0.866666667,0.9,0.955555556
48,43,0.888888889,0.977777778,0.888888889,0.911111111
48,44,0.833333333,0.988888889,0.866666667,0.977777778
48,76,0.522222222,0.7,0.588888889,0.966666667
48,100,0.7,0.522222222,0.644444444,0.688888889
48,103,0.766666667,0.911111111,0.611111111,0.933333333
48,116,0.922222222,0.955555556,0.933333333,0.966666667
56,23,0.911111111,0.988888889,0.988888889,0.9
56,39,0.788888889,0.977777778,0.988888889,0.888888889
56,43,0.711111111,0.966666667,0.966666667,0.977777778
56,44,0.811111111,0.966666667,0.744444444,0.644444444
56,48,0.922222222,0.933333333,0.855555556,0.955555556
56,76,0.844444444,0.833333333,0.988888889,0.955555556
56,83,0.688888889,1,0.933333333,0.822222222
56,100,0.9,0.911111111,0.944444444,0.722222222
56,103,0.888888889,0.988888889,0.922222222,0.9
56,106,0.822222222,1,0.955555556,0.866666667
56,107,0.477777778,0.933333333,1,0.966666667
56,108,0.777777778,0.833333333,0.911111111,0.811111111
56,116,0.844444444,1,1,0.844444444
60,23,0.777777778,1,0.988888889,1
60,31,0.822222222,1,0.966666667,0.988888889
60,32,0.922222222,1,1,1
60,36,0.733333333,0.9,0.788888889,1
60,39,0.8,0.988888889,1,1
60,43,0.944444444,1,1,0.911111111
60,44,0.855555556,1,0.9,1
60,48,0.855555556,1,0.8,0.955555556
60,56,0.822222222,1,1,1
60,61,0.766666667,0.844444444,0.833333333,0.966666667
60,65,0.7,0.988888889,0.966666667,1
60,71,0.955555556,1,1,0.833333333
60,72,0.566666667,0.755555556,0.922222222,0.944444444
60,76,0.655555556,0.988888889,0.9,1
60,83,0.877777778,1,0.988888889,0.988888889
60,85,0.766666667,1,0.911111111,0.9
60,90,0.7,1,0.944444444,1
60,100,0.688888889,0.966666667,0.988888889,0.9
60,101,0.677777778,0.988888889,0.933333333,1
60,103,0.866666667,1,0.944444444,1
60,104,0.6,0.833333333,0.822222222,0.811111111
60,106,0.7,0.988888889,0.888888889,1
60,107,0.766666667,1,1,1
60,108,0.511111111,0.811111111,0.955555556,1
60,116,0.888888889,1,1,1
60,117,0.8,1,1,1
60,234,0.666666667,0.822222222,0.611111111,0.966666667
60,266,0.944444444,1,1,0.966666667
61,23,0.511111111,0.966666667,1,1
61,31,0.766666667,0.944444444,0.988888889,1
61,32,0.877777778,1,1,1
61,39,0.744444444,0.955555556,1,0.888888889
61,43,0.855555556,0.833333333,1,0.955555556
61,44,0.755555556,0.911111111,0.822222222,0.888888889
61,48,0.622222222,0.955555556,0.888888889,0.955555556
61,56,0.911111111,0.955555556,0.833333333,0.944444444
61,76,0.533333333,0.811111111,0.822222222,0.9
61,83,0.777777778,1,0.922222222,0.922222222
61,90,0.855555556,0.944444444,0.944444444,0.955555556
61,100,0.611111111,0.788888889,1,0.7
61,103,0.711111111,0.944444444,0.944444444,0.822222222
61,106,0.644444444,0.977777778,0.966666667,0.966666667
61,107,0.588888889,0.966666667,1,0.944444444
61,108,0.555555556,0.822222222,0.888888889,0.877777778
61,116,0.911111111,1,1,1
61,266,0.722222222,0.988888889,1,0.777777778
65,23,0.722222222,0.955555556,0.888888889,0.922222222
65,31,0.711111111,1,0.944444444,0.988888889
65,32,0.788888889,1,1,1
65,36,0.777777778,0.755555556,0.711111111,0.977777778
65,39,0.733333333,1,0.9,0.966666667
65,43,0.677777778,0.888888889,0.944444444,0.9
65,44,0.666666667,1,0.866666667,0.922222222
65,48,0.788888889,0.777777778,0.766666667,0.955555556
65,56,0.822222222,1,0.922222222,0.855555556
65,61,0.644444444,0.866666667,0.933333333,1
65,71,0.911111111,1,1,0.955555556
65,76,0.688888889,0.866666667,0.877777778,1
65,83,0.733333333,0.988888889,0.944444444,0.966666667
65,85,0.744444444,0.966666667,0.955555556,0.9
65,90,0.811111111,1,0.977777778,0.877777778
65,100,0.577777778,0.711111111,0.944444444,0.833333333
65,103,0.866666667,0.9,0.877777778,0.833333333
65,104,0.733333333,0.7,0.8,0.944444444
65,106,0.722222222,0.933333333,0.877777778,0.833333333
65,107,0.677777778,0.966666667,0.966666667,0.866666667
65,108,0.677777778,0.766666667,0.911111111,0.888888889
65,116,0.755555556,0.977777778,1,0.922222222
65,117,0.822222222,1,1,1
65,234,0.711111111,0.888888889,0.9,0.866666667
65,266,0.722222222,0.977777778,1,0.933333333
71,23,0.811111111,1,1,0.911111111
71,31,0.833333333,0.9,0.766666667,0.788888889
71,32,1,1,1,0.955555556
71,36,0.855555556,1,0.977777778,0.966666667
71,39,0.855555556,0.888888889,0.911111111,0.866666667
71,43,0.977777778,1,0.977777778,0.966666667
71,44,0.877777778,1,1,0.988888889
71,48,0.866666667,0.988888889,0.833333333,0.744444444
71,56,0.933333333,1,1,0.922222222
71,61,0.888888889,1,1,0.844444444
71,76,0.722222222,0.866666667,0.966666667,0.988888889
71,83,0.988888889,1,0.988888889,0.977777778
71,85,0.8,1,0.966666667,0.866666667
71,90,0.944444444,1,0.977777778,0.877777778
71,100,0.866666667,1,1,0.733333333
71,103,0.866666667,1,1,0.822222222
71,106,0.744444444,0.966666667,0.955555556,0.811111111
71,107,0.811111111,0.922222222,0.977777778,0.855555556
71,108,0.855555556,0.966666667,1,1
71,116,1,1,1,0.966666667
71,117,0.744444444,1,1,0.777777778
71,266,0.944444444,1,1,0.744444444
72,23,0.533333333,0.444444444,0.711111111,0.811111111
72,31,0.7,0.711111111,0.7,0.8
72,32,0.711111111,1,0.988888889,0.988888889
72,36,0.622222222,0.8,0.788888889,1
72,39,0.477777778,0.722222222,0.788888889,0.844444444
72,43,0.855555556,0.777777778,0.811111111,0.933333333
72,44,0.822222222,0.8,0.833333333,0.988888889
72,48,0.544444444,0.755555556,0.688888889,0.933333333
72,56,0.833333333,0.744444444,0.944444444,0.966666667
72,61,0.488888889,0.811111111,0.844444444,0.922222222
72,65,0.744444444,0.755555556,0.766666667,0.966666667
72,71,0.733333333,0.811111111,0.833333333,0.822222222
72,76,0.411111111,0.922222222,0.777777778,0.822222222
72,83,0.888888889,0.888888889,0.844444444,1
72,85,0.733333333,0.911111111,0.888888889,0.933333333
72,90,0.733333333,0.722222222,0.766666667,0.955555556
72,100,0.744444444,0.733333333,0.933333333,0.888888889
72,103,0.744444444,0.711111111,0.6,0.877777778
72,104,0.422222222,0.766666667,0.855555556,0.988888889
72,106,0.688888889,0.855555556,0.6,0.855555556
72,107,0.666666667,0.644444444,0.522222222,0.777777778
72,108,0.533333333,0.777777778,0.755555556,0.988888889
72,116,0.744444444,0.933333333,0.966666667,0.966666667
72,117,0.722222222,0.977777778,0.688888889,0.855555556
72,234,0.466666667,0.722222222,0.777777778,0.833333333
72,266,0.511111111,0.688888889,0.7,0.844444444
76,39,0.633333333,0.877777778,1,0.922222222
76,44,0.777777778,0.922222222,0.877777778,0.911111111
76,100,0.511111111,0.677777778,0.9,0.611111111
76,103,0.766666667,0.944444444,0.911111111,0.944444444
76,116,0.8,0.711111111,1,0.833333333
83,39,0.811111111,1,0.955555556,1
83,43,0.877777778,0.988888889,0.966666667,0.955555556
83,44,0.755555556,0.955555556,0.844444444,0.777777778
83,48,0.944444444,1,0.855555556,0.966666667
83,76,0.8,0.822222222,0.9,0.955555556
83,100,0.911111111,1,1,0.877777778
83,103,0.733333333,1,0.777777778,0.944444444
83,108,0.488888889,0.911111111,0.944444444,0.855555556
83,116,0.755555556,1,1,0.888888889
85,23,0.788888889,1,1,0.955555556
85,31,0.788888889,1,0.944444444,0.866666667
85,32,0.8,1,0.933333333,0.777777778
85,39,0.755555556,1,0.988888889,0.977777778
85,43,0.9,0.977777778,0.888888889,0.855555556
85,44,0.822222222,0.977777778,0.777777778,0.9
85,48,0.688888889,0.911111111,0.9,0.9
85,56,0.8,0.988888889,0.888888889,0.866666667
85,61,0.677777778,0.988888889,0.833333333,0.911111111
85,76,0.722222222,0.755555556,0.911111111,0.844444444
85,83,0.877777778,1,0.988888889,0.933333333
85,90,0.677777778,0.988888889,0.977777778,0.7
85,100,0.733333333,0.955555556,1,0.8
85,103,0.877777778,1,0.988888889,0.966666667
85,106,0.766666667,1,0.966666667,0.933333333
85,107,0.733333333,1,1,0.988888889
85,108,0.666666667,0.977777778,0.911111111,0.988888889
85,116,0.666666667,0.977777778,0.488888889,0.688888889
85,117,0.9,1,0.955555556,0.944444444
85,266,0.977777778,1,1,0.977777778
90,23,0.766666667,0.833333333,0.988888889,0.922222222
90,32,0.8,1,1,0.988888889
90,39,0.888888889,0.977777778,0.977777778,1
90,43,0.711111111,0.955555556,0.988888889,0.988888889
90,44,0.7,0.933333333,0.922222222,0.911111111
90,48,0.722222222,0.766666667,0.666666667,0.922222222
90,56,0.888888889,0.988888889,0.955555556,0.844444444
90,76,0.555555556,0.766666667,0.833333333,0.966666667
90,83,0.811111111,1,0.966666667,0.966666667
90,100,0.633333333,0.744444444,0.911111111,0.655555556
90,103,0.833333333,0.988888889,0.855555556,0.955555556
90,106,0.7,0.922222222,0.855555556,0.8
90,107,0.666666667,0.955555556,1,0.955555556
90,108,0.733333333,0.822222222,1,0.955555556
90,116,0.755555556,0.922222222,1,0.855555556
100,44,0.588888889,0.833333333,1,0.666666667
100,103,0.844444444,0.877777778,0.922222222,0.755555556
100,116,0.822222222,0.844444444,1,0.766666667
101,23,0.622222222,0.977777778,1,0.988888889
101,31,0.522222222,0.777777778,0.911111111,0.9
101,32,0.877777778,0.811111111,0.922222222,0.755555556
101,36,0.711111111,0.955555556,0.888888889,0.977777778
101,39,0.733333333,1,1,1
101,43,0.733333333,0.988888889,0.9,0.955555556
101,44,0.7,0.988888889,0.911111111,0.944444444
101,48,0.688888889,0.844444444,0.833333333,0.933333333
101,56,0.877777778,0.888888889,1,1
101,61,0.733333333,0.911111111,0.933333333,0.977777778
101,65,0.7,0.955555556,0.955555556,0.966666667
101,71,0.922222222,1,0.966666667,0.888888889
101,72,0.6,0.922222222,0.822222222,0.9
101,76,0.388888889,0.7,0.944444444,0.966666667
101,83,0.811111111,0.955555556,0.944444444,0.933333333
101,85,0.522222222,0.744444444,0.533333333,0.811111111
101,90,0.722222222,0.877777778,0.933333333,0.911111111
101,100,0.577777778,0.888888889,1,0.822222222
101,103,0.8,0.988888889,0.988888889,0.988888889
101,104,0.744444444,0.866666667,0.866666667,0.966666667
101,106,0.644444444,0.933333333,1,0.877777778
101,107,0.6,0.988888889,1,0.966666667
101,108,0.733333333,0.888888889,0.944444444,0.977777778
101,116,0.977777778,0.766666667,0.766666667,0.911111111
101,117,0.688888889,0.866666667,0.922222222,0.911111111
101,234,0.455555556,0.677777778,0.833333333,0.855555556
101,266,0.8,1,1,0.988888889
104,23,0.522222222,0.777777778,0.988888889,1
104,31,0.755555556,0.855555556,0.955555556,0.955555556
104,32,0.822222222,0.9,1,0.955555556
104,36,0.7,0.511111111,0.7,0.944444444
104,39,0.766666667,0.922222222,0.933333333,0.966666667
104,43,0.833333333,0.7,0.833333333,0.811111111
104,44,0.5,0.7,0.711111111,0.955555556
104,48,0.744444444,0.811111111,0.911111111,0.811111111
104,56,0.8,0.744444444,0.711111111,0.944444444
104,61,0.455555556,0.555555556,0.7,0.744444444
104,71,0.688888889,0.855555556,0.966666667,0.911111111
104,76,0.555555556,0.7,0.855555556,0.922222222
104,83,0.788888889,0.833333333,0.922222222,0.933333333
104,85,0.766666667,0.911111111,0.788888889,0.955555556
104,90,0.622222222,0.777777778,0.977777778,0.988888889
104,100,0.555555556,0.6,0.977777778,0.722222222
104,103,0.7,0.766666667,0.855555556,0.888888889
104,106,0.677777778,0.811111111,0.888888889,0.977777778
104,107,0.6,0.855555556,1,0.977777778
104,108,0.422222222,0.511111111,0.766666667,0.666666667
104,116,0.777777778,0.822222222,0.977777778,1
104,117,0.888888889,0.911111111,0.933333333,0.922222222
104,234,0.566666667,0.788888889,0.611111111,0.933333333
104,266,0.822222222,0.988888889,1,0.933333333
106,39,0.622222222,0.966666667,0.855555556,0.911111111
106,43,0.788888889,1,0.955555556,0.922222222
106,44,0.788888889,0.977777778,0.966666667,0.9
106,48,0.733333333,0.844444444,0.733333333,0.744444444
106,76,0.6,0.666666667,0.833333333,0.911111111
106,83,0.655555556,0.966666667,0.955555556,0.955555556
106,100,0.833333333,0.833333333,0.822222222,0.622222222
106,103,0.711111111,0.977777778,0.8,0.888888889
106,107,0.677777778,0.9,0.533333333,0.466666667
106,108,0.611111111,0.977777778,0.944444444,0.988888889
106,116,0.833333333,0.955555556,1,0.866666667
107,39,0.6,0.6,0.622222222,0.888888889
107,43,0.733333333,1,1,0.977777778
107,44,0.566666667,0.955555556,1,0.988888889
107,48,0.455555556,0.888888889,0.922222222,0.922222222
107,76,0.566666667,0.966666667,1,0.888888889
107,83,0.722222222,1,1,1
107,100,0.488888889,0.888888889,0.933333333,0.622222222
107,103,0.455555556,0.433333333,0.633333333,0.8
107,108,0.577777778,0.911111111,1,0.966666667
107,116,0.711111111,1,1,0.977777778
108,39,0.688888889,1,1,0.933333333
108,43,0.844444444,0.944444444,0.977777778,0.966666667
108,44,0.688888889,0.8,0.744444444,0.744444444
108,48,0.744444444,1,0.944444444,0.966666667
108,76,0.5,0.822222222,0.955555556,0.888888889
108,100,0.722222222,0.9,1,0.755555556
108,103,0.722222222,0.933333333,0.877777778,0.866666667
108,116,0.844444444,0.866666667,0.988888889,0.933333333
116,103,0.833333333,1,1,0.988888889
117,23,0.644444444,0.9,0.988888889,0.922222222
117,31,0.633333333,0.966666667,0.833333333,0.822222222
117,32,0.911111111,1,1,0.933333333
117,39,0.711111111,1,1,1
117,43,0.922222222,1,1,0.966666667
117,44,0.944444444,0.988888889,0.966666667,1
117,48,0.711111111,0.9,0.9,0.744444444
117,56,0.977777778,1,1,1
117,61,0.877777778,0.988888889,1,0.933333333
117,76,0.711111111,0.555555556,0.977777778,0.988888889
117,83,0.888888889,1,1,1
117,90,0.888888889,0.944444444,1,0.977777778
117,100,0.722222222,0.877777778,1,0.755555556
117,103,0.788888889,0.933333333,0.9,0.955555556
117,106,0.677777778,0.755555556,0.866666667,0.8
117,107,0.633333333,0.711111111,1,0.933333333
117,108,0.822222222,0.955555556,1,1
117,116,0.933333333,1,1,0.988888889
117,266,0.933333333,0.988888889,1,0.922222222
118,23,0.755555556,0.933333333,1,1
118,31,0.844444444,1,0.966666667,1
118,32,0.966666667,0.977777778,1,1
118,36,0.655555556,0.5,0.644444444,0.844444444
118,39,0.833333333,0.844444444,0.977777778,0.955555556
118,43,0.833333333,0.755555556,0.955555556,0.866666667
118,44,0.844444444,0.844444444,0.788888889,0.922222222
118,48,0.8,0.933333333,0.922222222,0.933333333
118,56,0.833333333,0.833333333,0.933333333,0.966666667
118,60,0.766666667,0.866666667,0.966666667,0.977777778
118,61,0.6,0.766666667,0.944444444,0.766666667
118,65,0.733333333,0.788888889,0.944444444,0.955555556
118,71,0.933333333,1,1,0.944444444
118,72,0.655555556,0.8,0.8,0.944444444
118,76,0.544444444,0.888888889,0.966666667,0.977777778
118,83,0.822222222,0.977777778,0.9,0.888888889
118,85,0.744444444,0.966666667,0.922222222,0.933333333
118,90,0.722222222,0.766666667,0.966666667,1
118,100,0.811111111,0.766666667,1,0.777777778
118,101,0.644444444,0.888888889,0.988888889,1
118,103,0.966666667,0.855555556,0.866666667,0.844444444
118,104,0.611111111,0.444444444,0.866666667,0.566666667
118,106,0.744444444,0.988888889,0.966666667,0.988888889
118,107,0.677777778,0.966666667,1,0.966666667
118,108,0.722222222,0.655555556,0.777777778,0.666666667
118,116,0.922222222,0.988888889,0.977777778,1
118,117,0.888888889,1,0.977777778,0.988888889
118,234,0.744444444,0.922222222,0.722222222,0.888888889
118,266,0.977777778,0.911111111,0.977777778,0.933333333
234,23,0.711111111,0.955555556,0.955555556,0.9
234,31,0.8,1,0.8,0.822222222
234,32,0.855555556,0.822222222,0.966666667,0.922222222
234,36,0.655555556,0.966666667,0.655555556,0.833333333
234,39,0.622222222,0.9,0.655555556,0.911111111
234,43,0.855555556,0.955555556,0.977777778,0.966666667
234,44,0.788888889,0.955555556,0.955555556,0.855555556
234,48,0.655555556,0.844444444,0.666666667,0.922222222
234,56,0.844444444,0.977777778,0.733333333,0.833333333
234,61,0.6,0.955555556,0.744444444,0.711111111
234,71,0.722222222,1,0.677777778,0.922222222
234,76,0.455555556,0.333333333,0.8,0.566666667
234,83,0.666666667,0.944444444,0.688888889,0.933333333
234,85,0.622222222,0.9,0.866666667,0.633333333
234,90,0.777777778,0.988888889,0.655555556,0.811111111
234,100,0.555555556,0.766666667,0.733333333,0.722222222
234,103,0.666666667,1,0.988888889,0.933333333
234,106,0.7,0.966666667,0.744444444,0.866666667
234,107,0.466666667,0.988888889,0.844444444,0.888888889
234,108,0.633333333,0.966666667,0.988888889,0.955555556
234,116,0.788888889,0.933333333,0.922222222,0.955555556
234,117,0.833333333,0.877777778,0.877777778,0.911111111
234,266,0.711111111,0.955555556,0.911111111,0.766666667
266,23,0.633333333,0.833333333,0.977777778,0.9
266,32,0.977777778,1,1,1
266,39,0.744444444,0.966666667,0.744444444,0.833333333
266,43,0.766666667,0.966666667,1,0.966666667
266,44,0.866666667,1,1,0.988888889
266,48,0.766666667,0.844444444,0.877777778,0.955555556
266,56,0.9,0.866666667,0.966666667,0.877777778
266,76,0.8,0.988888889,0.988888889,0.866666667
266,83,0.911111111,0.966666667,0.966666667,0.977777778
266,90,0.777777778,0.844444444,1,0.966666667
266,100,0.877777778,0.955555556,1,0.788888889
266,103,0.7,0.844444444,0.822222222,0.844444444
266,106,0.8,0.955555556,0.988888889,0.9
266,107,0.766666667,0.877777778,0.911111111,0.933333333
266,108,0.8,0.944444444,1,0.966666667
266,116,0.966666667,1,1,0.988888889
