Subj,SF,Conv_vert,Pos_curv,Neg_curv,taper,clustID
1001,Skel,-0.434291786,0.315564535,-0.559267839,-0.371803759,3
1001,Balloon,-0.434291786,1.002932829,-1.184148107,0.752980722,3
1001,Shrink,0.315564535,-0.059363625,0.315564535,-0.496779813,1
1001,Bulge,-0.746731919,0.628004669,-0.871707973,1.127908883,3
1001,Wave,0.503028615,-0.246827706,0.315564535,0.128100455,1
1002,Skel,-0.573458862,-0.512126364,-0.389461366,-0.634791361,2
1002,Balloon,-1.002786353,1.757176086,-1.064118851,-0.573458862,3
1002,Shrink,0.959853604,0.775856108,-0.450793865,0.469193615,1
1002,Bulge,-0.634791361,1.021186102,-0.880121355,-0.144131372,3
1002,Wave,1.205183598,-0.144131372,0.591858612,0.22386362,1
1003,Skel,0.354788891,-0.034020853,-0.228425725,-1.297652521,2
1003,Balloon,-0.811640341,0.063181583,-0.714437905,-1.103247649,2
1003,Shrink,1.132408379,0.160384019,-0.714437905,0.549193763,1
1003,Bulge,-0.520033033,1.326813251,-1.103247649,0.938003507,3
1003,Wave,1.229610815,0.257586455,-0.520033033,1.035205943,4
1004,Skel,-0.560192636,-1.260433431,-0.676899435,-1.202080032,2
1004,Balloon,-1.085373232,0.956995753,-0.851959634,-1.085373232,3
1004,Shrink,0.081694759,0.02334136,0.490168557,0.781935554,1
1004,Bulge,-0.03501204,0.898642354,-0.385132437,0.431815157,3
1004,Wave,1.36546955,-0.093365439,1.073702552,1.132055952,4
1005,Skel,-0.516259778,-0.907736387,-0.760932658,-0.809867235,2
1005,Balloon,-0.760932658,-0.516259778,-0.907736387,-0.663063506,2
1005,Shrink,1.39218869,-0.61412893,-0.026914017,0.804973777,4
1005,Bulge,-0.711998082,1.049646657,0.119889711,-0.222652321,3
1005,Wave,1.39218869,1.098581234,0.902842929,0.658170049,4
1006,Skel,-0.621719327,-1.128305445,-0.851985744,-1.128305445,2
1006,Balloon,-1.128305445,-0.621719327,-1.128305445,-1.128305445,2
1006,Shrink,1.082252162,0.66777261,0.52961276,1.082252162,4
1006,Bulge,-0.483559477,0.345399626,0.115133209,0.345399626,3
1006,Wave,1.082252162,1.036198878,1.082252162,0.851985744,4
1007,Skel,1.118700744,-0.760959043,-0.882227416,-1.064129976,2
1007,Balloon,-0.700324856,0.027285384,-0.821593229,-0.760959043,2
1007,Shrink,1.421871677,0.512358877,-0.700324856,0.209187944,1
1007,Bulge,-0.154617176,0.936798184,-0.397153923,0.997432371,3
1007,Wave,1.118700744,0.209187944,-0.215251363,-0.093982989,1
1009,Skel,0.196720537,-1.390848711,0.334770037,-1.390848711,2
1009,Balloon,-0.355477462,0.748918537,-0.286452712,0.541844287,3
1009,Shrink,0.541844287,0.058671037,0.748918537,-0.079378462,1
1009,Bulge,-0.631576462,0.679893787,-0.424502212,0.748918537,3
1009,Wave,0.334770037,-0.700601212,0.472819537,-0.148403212,1
1010,Skel,-0.822185219,-0.941342497,-1.000921136,-0.76260658,2
1010,Balloon,-1.000921136,-0.345556106,-1.060499775,-0.76260658,2
1010,Shrink,1.14390987,0.131073006,-0.524292024,1.084331231,4
1010,Bulge,-1.060499775,0.726859396,-0.166820189,0.667280757,3
1010,Wave,1.441803065,1.084331231,0.905595314,1.263067148,4
1011,Skel,-0.702245781,-1.096028463,-1.030398016,-1.227289356,2
1011,Balloon,-1.161658909,-0.505354441,-0.570984888,-1.096028463,2
1011,Shrink,1.069776284,0.479102262,0.019689134,1.266667624,4
1011,Bulge,0.085319581,-0.242832653,0.085319581,0.675993603,1
1011,Wave,1.397928518,0.216580475,0.93851539,1.397928518,4
1012,Skel,0.823860503,-1.006940615,-0.94155486,-1.137712123,2
1012,Balloon,-0.614626089,0.562317486,-0.94155486,-0.614626089,3
1012,Shrink,1.216175028,-0.418468827,0.366160223,-0.026154302,1
1012,Bulge,-0.680011844,1.346946536,-1.006940615,0.366160223,3
1012,Wave,1.477718045,-0.418468827,0.62770324,1.020017765,4
1013,Skel,-0.463897526,-1.144280563,-0.89686855,-0.278338515,2
1013,Balloon,-0.835015546,-0.278338515,-1.144280563,-0.525750529,2
1013,Shrink,1.329839574,0.278338515,0.154632509,1.206133567,4
1013,Bulge,-1.206133567,0.649456536,0.030926502,-0.649456536,3
1013,Wave,1.329839574,0.525750529,0.587603533,1.329839574,4
1014,Skel,-0.368751751,0.036469953,-0.530840433,-0.206663069,3
1014,Balloon,-0.28770741,0.60378034,-1.09815082,-1.746505547,2
1014,Shrink,-0.044574388,0.441691658,0.036469953,1.333179408,1
1014,Bulge,-0.206663069,0.765869022,-0.855017797,-1.260239502,3
1014,Wave,0.60378034,0.522735999,0.522735999,1.738401113,4
1015,Skel,-0.819779377,-1.348669297,-0.215333753,-0.668667971,2
1015,Balloon,-0.819779377,0.086889058,-1.348669297,-1.122002188,2
1015,Shrink,1.522447414,-0.064222347,0.464667573,1.220224602,4
1015,Bulge,-0.064222347,-0.13977805,-0.366445159,0.162444761,1
1015,Wave,1.371336008,0.38911187,0.38911187,1.371336008,4
1016,Skel,-0.023509437,-0.859400545,-0.127995826,-0.859400545,2
1016,Balloon,-1.120616516,0.498922505,-0.754914156,0.916868058,3
1016,Shrink,-0.075752632,0.498922505,-0.284725408,-0.232482214,3
1016,Bulge,-0.075752632,0.916868058,-0.075752632,0.864624864,1
1016,Wave,-0.284725408,0.342192922,0.655652087,0.080976951,1
1017,Skel,0.297066096,-0.407836504,-0.709937619,-0.508536876,2
1017,Balloon,-0.407836504,1.30406981,-1.012038733,-1.112739105,3
1017,Shrink,0.397766467,0.095665353,0.095665353,0.59916721,1
1017,Bulge,-0.609237247,0.901268324,-0.508536876,-1.012038733,3
1017,Wave,0.901268324,-0.005035019,0.800567953,0.901268324,4
1018,Skel,-0.736921281,-0.386006385,-0.245640427,-0.877287239,2
1018,Balloon,-1.158019155,1.017653197,-0.03509149,-0.947470218,3
1018,Shrink,0.877287239,0.666738302,-0.245640427,-0.245640427,1
1018,Bulge,-0.456189364,0.80710426,-0.456189364,0.245640427,3
1018,Wave,1.087836176,0.736921281,-0.03509149,0.386006385,1
1019,Skel,-0.882855021,-0.337270458,-0.634862038,-0.287671861,2
1019,Balloon,-0.982052215,0.803497266,-0.932453618,-0.386869054,3
1019,Shrink,1.34908183,0.009919719,0.853095863,0.704300073,4
1019,Bulge,-0.982052215,1.101088847,-0.932453618,-0.287671861,3
1019,Wave,0.75389867,-0.337270458,0.853095863,0.555504283,1
1020,Skel,-0.878672137,-0.706944683,-0.764187168,-0.306247292,2
1020,Balloon,-0.993157106,-0.02003487,-0.53521723,-0.363489776,2
1020,Shrink,0.208935068,0.895844882,-0.706944683,0.953087367,1
1020,Bulge,-0.306247292,0.781359913,-0.02003487,0.380662522,3
1020,Wave,0.266177553,0.838602398,0.838602398,0.437905006,1
1021,Skel,0.557587758,-0.890692133,-0.601036155,-0.166552187,2
1021,Balloon,-0.311380177,-0.818278138,-0.890692133,-0.673450149,2
1021,Shrink,0.774829742,0.123103791,0.340345774,-0.021724198,1
1021,Bulge,-0.094138193,0.774829742,-0.021724198,0.123103791,3
1021,Wave,1.354141698,0.485173764,0.340345774,-0.383794171,1
1022,Skel,-0.582381237,-0.582381237,-0.517310708,-0.387169649,2
1022,Balloon,-0.582381237,-0.257028591,-0.582381237,-0.582381237,2
1022,Shrink,-0.582381237,0.52381776,0.328606173,0.393676702,3
1022,Bulge,-0.582381237,2.410863109,-0.517310708,-0.257028591,3
1022,Wave,-0.257028591,0.979311465,1.044381994,0.58888829,1
1023,Skel,0.09160287,-0.729664239,0.154777263,0.660172406,1
1023,Balloon,-0.476966667,0.912869978,-0.603315453,-1.235059382,3
1023,Shrink,0.533823621,0.849695585,-0.54014106,0.470649228,1
1023,Bulge,-1.045536203,0.912869978,-0.603315453,-1.235059382,3
1023,Wave,0.407474835,0.407474835,0.217951656,0.849695585,1
1025,Skel,0.196797083,-0.003335544,-0.270179046,-0.870576926,2
1025,Balloon,-1.40426393,0.663773211,-0.470311672,1.264171091,3
1025,Shrink,0.663773211,-0.070046419,-0.470311672,0.196797083,1
1025,Bulge,-1.537685681,0.130086207,-0.403600797,1.397592842,3
1025,Wave,1.397592842,0.263507958,-0.136757295,-0.537022548,1
2005,Skel,-0.819779377,-1.348669297,-0.215333753,-0.668667971,2
2005,Balloon,-0.819779377,0.086889058,-1.348669297,-1.122002188,2
2005,Shrink,1.522447414,-0.064222347,0.464667573,1.220224602,4
2005,Bulge,-0.064222347,-0.13977805,-0.366445159,0.162444761,1
2005,Wave,1.371336008,0.38911187,0.38911187,1.371336008,4
1027,Skel,-0.446719185,0.178062892,0.053106477,-0.5716756,3
1027,Balloon,-1.071501261,-0.009371731,-0.071849939,-1.258935884,2
1027,Shrink,1.240192422,0.240541099,0.615410345,1.115236007,4
1027,Bulge,-1.383892299,-0.321762769,-0.196806354,-1.196457676,2
1027,Wave,1.240192422,0.427975722,0.49045393,0.927801384,4
1028,Skel,-1.492820224,-1.442044025,-1.035834441,-1.391267827,2
1028,Balloon,0.893661086,0.893661086,0.842884888,0.893661086,4
1028,Shrink,-0.020310479,0.182794313,0.030465719,-0.121862875,1
1028,Bulge,0.893661086,0.639780096,0.842884888,0.893661086,4
1028,Wave,-0.426520064,-0.52807246,-0.578848658,0.030465719,2
1031,Skel,-0.831940361,-1.315002506,-1.10030822,-0.992961076,2
1031,Balloon,-1.153981791,-0.831940361,-1.315002506,-1.10030822,2
1031,Shrink,0.992961076,0.295204644,1.10030822,0.939287504,4
1031,Bulge,0.456225359,0.617246074,0.241531073,0.241531073,1
1031,Wave,1.153981791,0.456225359,0.992961076,1.153981791,4
1033,Skel,0.264275759,-0.97275971,-0.97275971,-0.52292863,2
1033,Balloon,-0.129326435,0.545420184,-1.141446365,-0.691615285,3
1033,Shrink,1.220166804,-0.29801309,-0.07309755,1.332624574,4
1033,Bulge,-0.86030194,1.276395689,-0.52292863,-1.08521748,3
1033,Wave,1.501311229,-0.41047086,0.039360219,1.501311229,4
1034,Skel,-1.054025286,0.744652676,-0.190659864,-1.197919523,3
1034,Balloon,-1.197919523,0.456864202,-0.262606982,-1.197919523,3
1034,Shrink,1.104388269,0.312969965,-0.550395456,0.600758439,1
1034,Bulge,-0.83818393,0.384917084,-0.118712745,-0.190659864,3
1034,Wave,1.53607098,0.09712861,0.169075728,1.392176743,4
1035,Skel,0.418146637,-1.066860111,-0.910543611,-0.207119362,2
1035,Balloon,-0.754227111,-0.754227111,-1.22317661,-0.754227111,2
1035,Shrink,1.043412636,-0.519752362,-0.597910611,0.574463137,1
1035,Bulge,-0.441594112,0.105513637,-0.597910611,0.652621386,3
1035,Wave,1.824995134,1.121570886,1.121570886,0.965254386,4
1037,Skel,-0.268111682,-0.572784047,0.15842963,-0.146242735,2
1037,Balloon,-1.425866671,1.377119092,-0.694652993,-0.999325359,3
1037,Shrink,0.889643307,-0.450915101,0.584970942,0.219364103,1
1037,Bulge,-1.364932198,0.645905415,0.402167523,-0.511849574,3
1037,Wave,0.889643307,-0.389980628,1.011512254,0.645905415,4
1038,Skel,-0.622349828,-0.949902368,-1.004494458,-0.895310278,2
1038,Balloon,-1.004494458,0.251123615,-1.004494458,-0.840718188,2
1038,Shrink,0.960820786,0.687860336,-0.513165647,1.179189147,4
1038,Bulge,-0.676941918,0.906228696,-0.403981467,-0.185613106,3
1038,Wave,1.506741688,0.414899885,0.960820786,1.233781237,4
1040,Skel,-0.576504464,-1.047120352,-0.92946638,-1.047120352,2
1040,Balloon,-1.047120352,1.364786077,-1.047120352,-1.047120352,3
1040,Shrink,0.070592383,0.71768923,0.364727314,1.247132105,1
1040,Bulge,-0.63533145,1.423613063,-0.341196519,0.776516216,3
1040,Wave,0.364727314,0.305900328,0.541208272,0.541208272,1
1042,Skel,-0.150626545,-0.572380872,-0.63263149,-1.054385817,2
1042,Balloon,-1.235137672,-0.3313784,-0.813383345,-0.933884581,2
1042,Shrink,1.054385817,0.030125309,-0.030125309,0.753132727,1
1042,Bulge,-1.235137672,0.692882109,-0.030125309,0.753132727,3
1042,Wave,1.536390763,0.692882109,0.391629018,1.114636436,4
